Mirian Castilla 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2022      1        27        18       1.50         0
2022      2       150       123       1.22         0
2023      1       178       100       1.78         0
2023      2        61        48       1.27         0
2024      1        49        55       0.89         1
2024      2        16        15       1.07         0
2025      1        96        65       1.48         0
2025      2        83        65       1.28         0
2026      1        53        45       1.18         0
2026      2       149       116       1.28         0
2027      1       177       134       1.32         0
2027      2        32        30       1.07         0
2028      1       174       104       1.67         0
2028      2       148       128       1.16         0
2029      1       164       112       1.46         0
2029      2        93        64       1.45         0
2030      1         0         4       0.00         1
2030      2        32        35       0.91         2
2031      1        96        96       1.00         0

Montse Redondo 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       120       113       1.06         0
2020      2        43        49       0.88         1
2021      1        37        34       1.09         0
2021      2       159       147       1.08         0
2022      1        56        67       0.84         1
2022      2        53        58       0.91         2
2023      1        15        10       1.50         0
2023      2        36        24       1.50         0
2024      1        70        73       0.96         1
2024      2        65        67       0.97         2
2025      1        24        23       1.04         0
2025      2        38        32       1.19         0
2026      1       109        87       1.25         0
2026      2       115        70       1.64         0
2027      1        73        53       1.38         0
2027      2        24        13       1.85         0
2028      1        73        59       1.24         0
2028      2        74        57       1.30         0
2029      1        32        19       1.68         0
2029      2        75        95       0.79         1
2030      1        40        52       0.77         2
2030      2        89        70       1.27         0
2031      1        81       112       0.72         1

Dolores Guirado 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       144        83       1.73         0
2020      2        31        17       1.82         0
2021      1       135       109       1.24         0
2021      2        43        23       1.87         0
2022      1        18        21       0.86         1
2022      2        56        50       1.12         0
2023      1       168       125       1.34         0
2023      2        23        15       1.53         0
2024      1       145       152       0.95         1
2024      2        32        22       1.45         0
2025      1        42        56       0.75         1
2025      2       163       113       1.44         0
2026      1       137        80       1.71         0
2026      2       132       126       1.05         0
2027      1        85        61       1.39         0
2027      2        70        63       1.11         0
2028      1       142        96       1.48         0
2028      2       131        89       1.47         0
2029      1       157       110       1.43         0
2029      2         0        11       0.00         1
2030      1        50        44       1.14         0
2030      2       172       134       1.28         0
2031      1       177       135       1.31         0

Adelina Pavon 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       194       135       1.44         0
2020      2        27        19       1.42         0
2021      1        46        60       0.77         1
2021      2        40        46       0.87         2
2022      1        86        74       1.16         0
2022      2       107        74       1.45         0
2023      1        98        94       1.04         0
2023      2         0         4       0.00         1
2024      1         9         6       1.50         0
2024      2       180       148       1.22         0
2025      1       106        87       1.22         0
2025      2        98       127       0.77         1
2026      1        46        41       1.12         0
2026      2        53        36       1.47         0
2027      1        56        35       1.60         0
2027      2         9        15       0.60         1
2028      1        71        49       1.45         0
2028      2       125        96       1.30         0
2029      1         7        13       0.54         1
2029      2        68        44       1.55         0
2030      1       121       132       0.92         1
2030      2        62        63       0.98         2
2031      1       118        69       1.71         0
